I,II,III,aVR,aVL,aVF,V1
0.67689896,0.675897,0.67152107,0.6643699,0.67275816,0.62872046,0.6371681
0.6795065,0.65380037,0.6717284,0.6805482,0.6855494,0.69792956,0.6612581
0.6736696,0.67703706,0.6989612,0.66041225,0.6492428,0.6587975,0.61466616
0.6374411,0.6657863,0.658019,0.70184547,0.62378937,0.6626603,0.60943615
0.6757991,0.7260134,0.70831954,0.66762286,0.6566309,0.6386124,0.6326135
0.6779016,0.6740972,0.6565278,0.6554948,0.6416189,0.6517915,0.6121419
0.7261843,0.64632255,0.6704879,0.6490323,0.62184155,0.5974817,0.6200229
0.6731496,0.67107916,0.6616617,0.63894016,0.6507059,0.64957774,0.64971846
0.6829599,0.6833487,0.6681684,0.6426273,0.6372012,0.6082181,0.6125947
0.6760219,0.7054713,0.672839,0.645575,0.6441185,0.60959774,0.6036336
0.6529848,0.65910137,0.6707044,0.6400655,0.6164391,0.6257436,0.57647264
0.69871235,0.6379726,0.64488006,0.6337092,0.64021814,0.6171951,0.55412775
0.6902475,0.6845334,0.6352334,0.68572944,0.6001154,0.607595,0.5807524
0.690238,0.63900536,0.70533985,0.6198572,0.60569507,0.5734897,0.5974245
0.6552941,0.6561605,0.64301753,0.63992584,0.61300397,0.5974112,0.56332237
0.7004584,0.6578436,0.6639392,0.64520633,0.64813286,0.60910577,0.57131684
0.6431427,0.6595624,0.6148975,0.6421506,0.6242505,0.5735426,0.585139
0.6815509,0.6725447,0.638392,0.6243998,0.6251801,0.6046091,0.57777816
0.71211416,0.64274293,0.6382137,0.6166136,0.6268865,0.5547967,0.551283
0.64684325,0.6484438,0.6468278,0.6261479,0.66533834,0.5661461,0.19223472
0.65353507,0.650985,0.57937765,0.6179715,0.5886801,0.59031284,0.15792106
0.6649197,0.6514643,0.6334472,0.60282224,0.6106545,0.5393982,0.17509975
0.65078187,0.64748156,0.6032707,0.5719618,0.5967308,0.5673569,0.18144755
0.6276225,0.6511494,0.6287382,0.58887804,0.59046566,0.2299416,0.16932453
0.65765154,0.65606266,0.59735626,0.5701833,0.599934,0.19337422,0.19059855
0.63253963,0.6436484,0.59665173,0.5744911,0.54980636,0.17886975,0.22307096
0.6606244,0.64133143,0.60381556,0.5830625,0.54180366,0.17336434,0.21435234
0.629993,0.59693444,0.58361775,0.5839821,0.5516007,0.21427275,0.18798481
0.676472,0.6257587,0.59038067,0.6066729,0.18816943,0.21302907,0.19775744
0.6267636,0.6303767,0.57110304,0.5544211,0.19770832,0.21574906,0.16661009
0.63280714,0.6312559,0.5532399,0.57461786,0.22206342,0.18532738,0.20942974
0.6522035,0.5985799,0.60505015,0.5590532,0.18067116,0.20591548,0.14782721
0.6078666,0.5948564,0.5534143,0.57251704,0.18352194,0.18331206,0.196195
0.6334506,0.5920269,0.5702638,0.20498554,0.19243924,0.16571194,0.18667598
0.65132946,0.60957175,0.58325696,0.17283252,0.18368055,0.2048959,0.1604271
0.5891908,0.61471957,0.5501231,0.15804072,0.14921737,0.21408461,0.17010354
0.62105644,0.5809565,0.54000425,0.1981849,0.17510252,0.15994598,0.1502847
0.6184553,0.60219526,0.5549823,0.18080747,0.19961749,0.15847664,0.14978345
0.6246594,0.5813038,0.21771927,0.17114608,0.21374361,0.17892902,0.1383983
0.5799219,0.57101583,0.17155626,0.16473597,0.16098106,0.19607343,0.18413003
0.57376325,0.56381184,0.19148278,0.1926018,0.15992698,0.15305382,0.1914049
0.60599744,0.57738173,0.15934038,0.21879108,0.18271536,0.17900823,0.12253856
0.59676033,0.5632446,0.18559238,0.17967832,0.13955608,0.16135597,0.2009767
0.5909695,0.59640795,0.19356844,0.1988325,0.17108557,0.18583712,0.1623661
0.5879057,0.18009593,0.17518185,0.1841179,0.14414121,0.15447879,0.16675952
0.5622727,0.207102,0.1824868,0.1594729,0.20508091,0.1844491,0.12983155
0.5752953,0.18571955,0.16277695,0.19901557,0.1611117,0.16438638,0.18397558
0.5711705,0.17844567,0.1917607,0.16144617,0.2083151,0.14730719,0.15980592
0.545564,0.19510633,0.21057375,0.18275544,0.19625089,0.1657854,0.17678265
0.59159285,0.19752759,0.16672108,0.174438,0.15973857,0.124176644,0.17659257
0.20870322,0.2525657,0.17537828,0.19803846,0.14987312,0.15014225,0.17700703
0.17503421,0.18990609,0.19701435,0.15788579,0.16605224,0.16642435,0.13544367
0.21159181,0.17033745,0.21030122,0.18570192,0.16640502,0.12255823,0.14231619
0.17853445,0.19771877,0.15525618,0.15988852,0.1739602,0.10485305,0.13227473
0.21330418,0.15004902,0.18076976,0.16522697,0.15001072,0.10773703,0.16041203
0.220236,0.18895194,0.18879882,0.10147476,0.17893943,0.17928235,0.14713803
0.18011947,0.19032708,0.18005142,0.21471599,0.16775419,0.14938751,0.15980293
0.21523726,0.2050806,0.13147901,0.18254642,0.15404256,0.13842449,0.15858506
0.20362975,0.20780984,0.1899253,0.15481608,0.1449798,0.16609693,0.09966668
0.2111877,0.17738187,0.20914556,0.14626461,0.15386099,0.13719451,0.08560056
0.23202294,0.18352422,0.17991449,0.1574069,0.13952726,0.14871278,0.07790754
0.1884883,0.17026497,0.15574902,0.18018755,0.1553098,0.14188981,0.051810153
0.17759895,0.16204499,0.16486637,0.1265068,0.15409529,0.12995774,0.06649399
0.17412986,0.18979125,0.20925324,0.15998434,0.15583654,0.14323628,0.057327382
0.1748195,0.15707736,0.19074897,0.19666587,0.18411417,0.15076762,0.072423674
0.18877858,0.17318118,0.18401413,0.13698113,0.14429903,0.056705367,0.05297557
0.19629814,0.16046412,0.1769753,0.15964535,0.16517083,0.051492464,0.07028212
0.19413325,0.19022475,0.15522774,0.20045255,0.14777459,0.05415254,0.062348895
0.20423754,0.21409313,0.16301294,0.16734976,0.1364956,0.015342882,0.052657254
0.18701872,0.15083653,0.16401069,0.15551782,0.13692933,0.067259796,0.06540133
0.21486484,0.13858233,0.17507678,0.16139749,0.13616307,0.03771298,0.1160246
0.17950742,0.17189044,0.19275166,0.14148627,0.06778628,0.0747853,0.04848019
0.23818158,0.17341901,0.18340035,0.17370899,0.043299343,0.060677275,0.057486884
0.19524069,0.17616694,0.131079,0.13791713,0.033472896,0.06488212,0.049417455
0.16450515,0.16152823,0.162353,0.10488264,0.0761587,0.07707934,0.051808428
0.15912355,0.16507535,0.17098856,0.13437854,0.081327386,0.044834435,0.0796804
0.1890564,0.17504483,0.16698499,0.12098463,0.07856888,0.07104114,0.07797381
0.173776,0.18708315,0.14035241,0.05832264,0.06704596,0.06929894,0.06382925
0.19133666,0.1257273,0.20952392,0.059054278,0.07958045,0.06054034,0.08476189
0.18530622,0.15597749,0.123980545,0.08847295,0.078793064,0.04596076,0.08039335
0.17314348,0.16613513,0.12611535,0.078717954,0.080564685,0.07671686,0.061565414
0.15639685,0.14197725,0.15068485,0.070364095,0.047907967,0.07916787,0.03442149
0.14174291,0.19341354,0.18656029,0.06532564,0.043445513,0.06765659,0.081980206
0.1617915,0.14451134,0.12568966,0.044492222,0.057897996,0.044263333,0.06906267
0.1865069,0.15479954,0.060636714,0.022329777,0.0656056,0.0554043,0.06639775
0.17229344,0.16512862,0.087782115,0.068499446,0.06139782,0.06502959,0.056915283
0.14170535,0.14054267,0.06616102,0.08241109,0.02898446,0.08028816,0.08141124
0.16866857,0.11377495,0.06010726,0.06463266,0.10123319,0.03512955,0.073769264
0.1714728,0.1404497,0.078392126,0.056382377,0.061598543,0.055803396,0.062342905
0.14462785,0.1679068,0.072808996,0.07664868,0.070812725,0.059305184,0.042849544
0.1638955,0.13885461,0.08824562,0.065970205,0.09252783,0.06597242,0.088995434
0.16047901,0.12691812,0.09374348,0.10162899,0.021014657,0.041887596,0.0800122
0.13492751,0.08670383,0.07433045,0.092844956,0.05795651,0.06383973,0.07329845
0.1633934,0.061850205,0.074300356,0.087655865,0.06072336,0.062256034,0.015330224
0.16588312,0.05853683,0.07302227,0.08389473,0.062013846,0.04798821,0.06798216
0.17473772,0.07200254,0.07879602,0.043210067,0.06554368,0.066654064,0.06418934
0.17254189,0.0847008,0.07038921,0.082545675,0.09822849,0.05846242,0.056915887
0.122281946,0.11719147,0.06954503,0.077083714,0.08302638,0.07946892,0.0846419
0.12942906,0.08637233,0.093760155,0.0819561,0.08898831,0.052121058,0.08412481
0.15681767,0.09329382,0.10041935,0.079949215,0.07103943,0.07189371,0.07883352
0.080641165,0.060246125,0.04021439,0.0794207,0.042377986,0.054197673,0.09112327
0.080933824,0.050115507,0.070833296,0.124650195,0.029038928,0.058637783,0.0501869
0.14795391,0.07214592,0.057125397,0.069375575,0.04031113,0.07684512,0.061826203
0.0825825,0.073308095,0.064945266,0.08989144,0.078360006,0.07585905,0.07266054
0.0941404,0.04985884,0.07947942,0.062009294,0.07206449,0.06308865,0.05898905
0.09077251,0.06818658,0.08508124,0.0875053,0.0674892,0.06630426,0.08623586
0.084982656,0.07994118,0.0697123,0.09074123,0.064583294,0.042882707,0.061510816
0.06591079,0.07942404,0.033949368,0.07950469,0.11245061,0.100271456,0.09818357
0.08765587,0.082562245,0.053175572,0.105861425,0.056018412,0.086225614,0.053853296
0.057279263,0.07855506,0.09066576,0.055050246,0.09129216,0.08576473,0.11537544
0.068257645,0.06285384,0.018185485,0.063249595,0.073032275,0.04109337,0.11357996
0.06354395,0.06297321,0.096999764,0.07749882,0.07203244,0.061341424,0.07135616
0.07514487,0.049528364,0.08393199,0.09112353,0.09704015,0.06681647,0.0964308
0.12005568,0.109458014,0.10008603,0.07735111,0.10301312,0.035141286,0.06575395
0.036671285,0.0742856,0.0700452,0.09973177,0.0692256,0.09181559,0.09428232
0.087994814,0.06977255,0.033041503,0.061035816,0.090253666,0.1033473,0.07075004
0.04226726,0.055945735,0.08312883,0.051710006,0.0817994,0.115760274,0.04881278
0.06533384,0.13348565,0.10026555,0.08093505,0.07492123,0.05385481,0.00411612
0.09680134,0.053555768,0.09351676,0.07347872,0.079107426,0.077368796,0.06964806
0.076556705,0.06669415,0.062017273,0.08612838,0.061510928,0.10172747,0.08085235
0.053963915,0.08383555,0.077254035,0.07497077,0.06939682,0.07044644,0.10212514
0.06145937,0.0877697,0.06510872,0.06896505,0.06415274,0.064425685,0.07649794
0.089602955,0.09516964,0.05962567,0.07451224,0.09403853,0.038690645,0.0960692
0.06164814,0.11240764,0.095363244,0.07683245,0.07435145,0.098907925,0.06717664
0.08082803,0.086622015,0.05254822,0.07039924,0.050544582,0.07611365,0.06975328
0.0776526,0.05562055,0.05886484,0.07267853,0.062272422,0.06215433,0.097821884
0.063950375,0.071843475,0.054901864,0.06891051,0.012997085,0.08265953,0.027688889
0.12010138,0.08337914,0.047417544,0.0943558,0.06733264,0.080282606,0.07748217
0.090139896,0.11882604,0.0803898,0.08134194,0.078214414,0.0808267,0.06946229
0.03719658,0.049743325,0.10092949,0.12283448,0.07497672,0.07335747,0.104911655
0.08166533,0.10198778,0.07423871,0.08115034,0.11753933,0.11038341,0.06737132
0.06493622,0.08177024,0.048056997,0.0671548,0.08967007,0.07549876,0.08850365
0.095455214,0.09516316,0.09520543,0.13182005,0.08901558,0.11079299,0.09683689
0.06278961,0.07660013,0.11235406,0.08691255,0.045774642,0.08992236,0.048788104
0.076577656,0.062023733,0.06594754,0.09867488,0.071579546,0.08589579,0.07608498
0.08920337,0.09412108,0.06953254,0.09094568,0.06937037,0.07683813,0.0704709
0.09664884,0.09242236,0.08964695,0.09179396,0.06361212,0.09881287,0.098259605
0.0555568,0.09900387,0.112000205,0.09027581,0.06356511,0.08182256,0.09306436
0.07310056,0.07952449,0.0693939,0.05774889,0.043628123,0.061147958,0.07512654
0.0705184,0.068020865,0.053368308,0.087367885,0.05450024,0.06070746,0.05906914
0.067176305,0.049067147,0.092871256,0.05374566,0.09772476,0.08869258,0.10100582
0.11577641,0.0968548,0.09644869,0.07698008,0.07760903,0.06231975,0.07911427
0.08879026,0.089168414,0.08081326,0.06617828,0.07056258,0.07944601,0.0483231
0.0556951,0.061597127,0.069750115,0.08806218,0.08080456,0.10205647,0.05026517
0.09949102,0.07036231,0.10102136,0.087816305,0.10448159,0.08721318,0.08988645
0.12379675,0.07201845,0.09191435,0.09097654,0.08143784,0.06691093,0.055837505
0.10222162,0.05191263,0.06620361,0.08731825,0.0923798,0.10977207,0.11876527
0.05140245,0.0654362,0.08277174,0.06965334,0.06485775,0.09274735,0.063048445
0.072321534,0.05932961,0.054972067,0.076786146,0.06963362,0.102362074,0.081999004
0.10755964,0.07397184,0.09593923,0.100629345,0.08930096,0.036870252,0.08540366
0.06828206,0.0676615,0.07719078,0.103792585,0.12028853,0.08905251,0.0678479
0.091524705,0.050108217,0.0739341,0.059712652,0.111243814,0.09949147,0.037851773
0.09835268,0.1233118,0.08220251,0.05224145,0.09451656,0.11686577,0.0866779
0.0645319,0.10812132,0.08387666,0.06853272,0.086099185,0.053794134,0.06800571
0.08208933,0.06769945,0.10117844,0.10418399,0.11130122,0.10740212,0.085610606
0.01866263,0.0889364,0.09530979,0.10778566,0.09938154,0.11637558,0.08104136
0.06320718,0.092044234,0.08056675,0.065200694,0.03782169,0.043349154,0.08896076
0.07884934,0.10772242,0.09917406,0.09004688,0.06282208,0.09347252,0.1151381
0.059149608,0.06773317,0.092120014,0.120793894,0.09086808,0.09645769,0.07318161
0.116956875,0.10615078,0.07577665,0.092614874,0.048569296,0.0777685,0.074931756
0.055908,0.07355272,0.08201646,0.11294089,0.06655905,0.07470894,0.05119488
0.07591091,0.057994556,0.081747346,0.104686335,0.0707155,0.09806888,0.080808125
0.08752639,0.09939431,0.0950168,0.0667076,0.07978826,0.07261194,0.093108974
0.113935605,0.11092531,0.07776969,0.08131051,0.079361536,0.08076515,0.07544024
0.05659025,0.13706568,0.07749931,0.08600258,0.07952508,0.10155619,0.0936361
0.10876691,0.061509132,0.12487879,0.087586306,0.10200979,0.120584495,0.081953466
0.08590323,0.09967696,0.104493275,0.10402514,0.08039409,0.09645825,0.059653237
0.066262096,0.07769625,0.07068026,0.094065964,0.07819967,0.08856196,0.09213197
0.095326826,0.10175193,0.09750358,0.02736074,0.059101317,0.07575681,0.081968114
0.09025721,0.05686623,0.08864302,0.060019214,0.106762946,0.06606402,0.08873118
0.07446172,0.061210662,0.09429708,0.042718437,0.073036104,0.10865762,0.07512706
0.0880509,0.07113737,0.08940169,0.090162165,0.06491426,0.083585866,0.07354681
0.07913616,0.08842172,0.11063529,0.09165219,0.09110425,0.1098565,0.08999065
0.08929913,0.07420715,0.09394118,0.09269328,0.071689956,0.08043774,0.08241678
0.10045649,0.100394964,0.08597211,0.06803531,0.076694824,0.07422811,0.121699445
0.11911808,0.10793564,0.10824156,0.10088062,0.092566945,0.09581372,0.10337235
0.062824056,0.09957191,0.09224606,0.101905614,0.08105071,0.086049646,0.09848045
0.1304224,0.12013749,0.09019131,0.06265876,0.13399392,0.06365117,0.084212124
0.04890011,0.096258394,0.094222315,0.0586211,0.086445294,0.12428923,0.047421396
0.08508504,0.0637828,0.08624856,0.088118106,0.10047751,0.07558107,0.071968846
0.10006471,0.115565896,0.0884829,0.12413401,0.049464483,0.10685019,0.0753525
0.09409457,0.07637161,0.07674084,0.12246959,0.07126175,0.10531186,0.082975045
0.07619585,0.106858216,0.073626496,0.09991793,0.06691157,0.06346059,0.087982655
0.084661245,0.12029838,0.06885228,0.07422376,0.0697361,0.068775944,0.10194519
0.07913626,0.09813004,0.061156616,0.106733136,0.09730704,0.0829661,0.09445919
0.07738031,0.059244428,0.07157326,0.08011912,0.109878905,0.07185467,0.11235166
0.1063297,0.07097341,0.08585232,0.073987514,0.09623027,0.12386678,0.08309962
0.09664675,0.11596133,0.09156879,0.046627104,0.08497355,0.08550293,0.0946497
0.07581576,0.0862915,0.08424802,0.091721594,0.07705685,0.10746893,0.09655084
0.107832186,0.091431655,0.042726118,0.077242844,0.11211218,0.10011294,0.09475471
0.096151136,0.105181634,0.12149687,0.09193376,0.13143025,0.095285594,0.11564295
0.10642607,0.10409528,0.11189843,0.04418167,0.09286994,0.09097525,0.10624431
0.1029238,0.09590722,0.09924642,0.09372776,0.109118484,0.11507384,0.063943155
0.073912434,0.08631897,0.12864214,0.041869912,0.09735974,0.07399048,0.08820571
0.07944854,0.08439879,0.07110488,0.11241097,0.10576226,0.12517887,0.09037269
0.10575657,0.10796867,0.1285632,0.101248525,0.06751976,0.06506623,0.13384151
0.10317535,0.10203934,0.07166366,0.08539465,0.08120522,0.10659818,0.084372126
0.090705864,0.0859779,0.09589866,0.102378294,0.09903329,0.063020624,0.07147422
0.093625106,0.1129208,0.06580181,0.07171707,0.115528375,0.08496445,0.10004506
0.11698522,0.088851236,0.0917258,0.09287942,0.075069234,0.093298115,0.10137163
0.07975255,0.07455073,0.099307306,0.10747945,0.050917994,0.08185007,0.090108514
0.10267668,0.07655532,0.08864093,0.029848946,0.081769444,0.08810134,0.087329514
0.08784033,0.07230937,0.106161736,0.0829397,0.1120868,0.064144775,0.11086226
0.08767871,0.08658413,0.09401262,0.09157945,0.06035442,0.07228332,0.074960366
0.114154704,0.116853654,0.08173087,0.0882533,0.06864077,0.102144465,0.0853601
0.10883302,0.07622279,0.08098843,0.12146673,0.09544307,0.092918135,0.0818817
0.10873911,0.09623843,0.108687185,0.06999089,0.090149485,0.07865835,0.1143468
0.11872139,0.079478025,0.079536974,0.080188625,0.10450114,0.11909737,0.0983217
0.093173474,0.08754721,0.111061454,0.054436017,0.06817886,0.06835478,0.07145351
0.10653272,0.062692836,0.117347896,0.123099394,0.08639409,0.08566185,0.07360353
0.08682727,0.08862184,0.059658326,0.0881068,0.11693631,0.08291948,0.13050091
0.09965355,0.08929612,0.11582875,0.08440205,0.069312304,0.10547098,0.114834584
0.09070366,0.10411228,0.13451497,0.09225687,0.12284477,0.0942698,0.11013753
0.09538141,0.09790711,0.098481566,0.10616621,0.07209315,0.09127819,0.09368643
0.10547827,0.069607295,0.105556816,0.1005224,0.110562764,0.0566908,0.1237446
0.07734303,0.11539141,0.11444755,0.14666513,0.08624827,0.11100814,0.07163935
0.13568617,0.098044485,0.08832878,0.10291714,0.070940256,0.089481905,0.108897775
0.07384772,0.09793594,0.09761367,0.08466316,0.084030084,0.09628129,0.085102595
0.0698126,0.09391273,0.06781238,0.08286924,0.10499496,0.079125114,0.08911851
0.117385566,0.0838682,0.09699605,0.086368166,0.09408627,0.07610677,0.10873913
0.11018223,0.09870502,0.10431122,0.06431224,0.11671837,0.12433473,0.091477826
